"","halodule","zostera","ruppia","algae","oyster","saltmarsh","other","richness","shannonD","evenness","seagrass","richness_comb","shannonD_comb","evenness_comb","total_cover","avg_blade_length","avg_shoot_density","max10","depth_m_avg","sal_avg","total_abund_sum","comm_richness_sum","comm_shannonD_sum","comm_evenness_sum","carnivore","herbivore","omnivore","soniferous_S","carn_2","detritivore","herb_2","invertivore","omni_2","piscivore","planktivore","num_bai_chr","num_ort_chr","num_ops_tau","seagrass_area","seagrass_core.area","seagrass_perimeter","seagrass_perim.area.ratio","saltmarsh_area","saltmarsh_core.area","saltmarsh_perimeter","saltmarsh_perim.area.ratio","oyster_area","oyster_core.area","oyster_perimeter","oyster_perim.area.ratio","habitat_total","NNratio","dist2adjPatch","richness_landscape","avg_temp","avg_spl_low","avg_spl_high","ToadCallRate","ToadCallRateNorm"
"seagrass",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"richness_comb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"shannonD_comb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"evenness_comb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"total_cover",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"avg_blade_length",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"avg_shoot_density",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"max10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"depth_m_avg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-0.935884457873985,-0.277205717865318,-0.803197916286926,NA,NA,-0.768647498554516,NA,0.277468371080938,-0.423504355860379,NA,NA,NA,-0.657161931507485,NA,NA,0.228960644135606,NA,NA,NA,-0.327958974126528,-0.376918982230472,-0.193178480296448,-0.486211266571057,-0.906958874454631,-0.909470361460867,-0.727352903700333,0.146754578539735,-0.776996908897432,-0.730562724543814,-0.803142951794121,0.166524592643166,-0.694213639568042,-0.295942722707426,0.280426369003206,-0.277468371080938,0.130254304291608,-0.217230840162086,-0.573928449980665,-0.423504355860379,-0.423504355860379
"sal_avg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.935884457873985,1,-0.0761738169961937,0.577350269189626,NA,NA,0.714310578815036,NA,-0.577350269189626,0.577350269189626,NA,NA,NA,0.577350269189626,NA,NA,-0.518740326353655,NA,NA,NA,0.519971543657081,0.549564158659225,0.433972335032724,0.518437402225425,0.983611771134617,0.960598325316336,0.895000146926364,0.210668472079904,0.926517296237432,0.862828455449948,0.961321243174845,0.127399249368561,0.862194111642919,0.59038038113323,-0.574968509408185,0.577350269189626,0.0684903228212598,0.182600479254839,0.812075948099721,0.577350269189626,0.577350269189626
"total_abund_sum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.277205717865318,-0.0761738169961937,1,0.652498839729588,NA,NA,0.306916534333087,NA,0.740456787225496,-0.465543941144869,NA,NA,NA,0.377585993648962,NA,NA,0.703579866223492,NA,NA,NA,-0.57611553784056,-0.52029705734601,-0.714766764203548,0.0705605796074537,-0.0909961235449728,-0.00915386714853083,-0.417613439515844,-0.988167457924515,-0.358191485268772,-0.338919306264804,-0.347769607497083,-0.740457663617002,-0.431353628168885,-0.809007611175872,0.721313236460786,-0.740456787225496,-0.65512239150015,0.238349310936279,-0.553216441412065,-0.465543941144869,-0.465543941144869
"comm_richness_sum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.803197916286926,0.577350269189626,0.652498839729588,1,NA,NA,0.412407404963859,NA,0.333333333333333,0.333333333333333,NA,NA,NA,0.333333333333333,NA,NA,0.392350586265654,NA,NA,NA,0.204843745401756,0.271283038671535,0.0210443511214508,0.017903091741918,0.480706123430413,0.485116423486319,0.388607526788604,-0.589534120969137,0.435576366771225,0.486373176194966,0.359755309971153,-0.720931381109797,0.389364364621958,-0.0871799262302419,0.335356938767072,-0.333333333333333,-0.0964106662512164,-0.119544941265949,-0.00751132753389662,0.333333333333333,0.333333333333333
"comm_shannonD_sum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"comm_evenness_sum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carnivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.768647498554516,0.714310578815036,0.306916534333087,0.412407404963859,NA,NA,1,NA,-0.412407404963859,-0.159000445287272,NA,NA,NA,0.983815255214989,NA,NA,-0.450129433114792,NA,NA,NA,-0.220746815486659,-0.190782216202782,-0.289029734009637,0.917996480652322,0.804276509599742,0.871334160837779,0.347090998765174,-0.16012482366379,0.412657990404401,0.26271037098565,0.591059706300915,0.225542648541789,0.273753412496836,-0.00777047985873909,-0.437326497083376,0.412407404963859,-0.639469208443442,0.79092515770729,0.588623899766088,-0.159000445287272,-0.159000445287272
"herbivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"omnivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.277468371080938,-0.577350269189626,0.740456787225496,0.333333333333333,NA,NA,-0.412407404963859,NA,1,-0.333333333333333,NA,NA,NA,-0.333333333333333,NA,NA,0.991340320385248,NA,NA,NA,-0.395567676000966,-0.363298991206213,-0.480063737782536,-0.580736855723721,-0.655070918254898,-0.624086979922661,-0.644849624716777,-0.832793119099337,-0.634273654011827,-0.509935305842027,-0.750282847078252,-0.868039362944787,-0.606211640279542,-0.76889247017333,0.999273386131819,-1,-0.175496478886694,-0.330393812969821,-0.945215862009485,-0.333333333333333,-0.333333333333333
"soniferous_S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.423504355860379,0.577350269189626,-0.465543941144869,0.333333333333333,NA,NA,-0.159000445287272,NA,-0.333333333333333,1,NA,NA,NA,-0.333333333333333,NA,NA,-0.206639147853941,NA,NA,NA,0.991093418484214,0.997881021083961,0.949436945195375,-0.339652883160456,0.449266633998776,0.338563816807936,0.857660858589328,0.484018105564824,0.825625853515045,0.91072251111311,0.666582389268479,-0.0834150542523736,0.896943599503857,0.841940779226507,-0.30089995439667,0.333333333333333,0.842696696007047,-0.665177162041852,0.458877536423427,1,1
"carn_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"detritivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"herb_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"invertivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.657161931507485,0.577350269189626,0.377585993648962,0.333333333333333,NA,NA,0.983815255214989,NA,-0.333333333333333,-0.333333333333333,NA,NA,NA,1,NA,NA,-0.392350586265654,NA,NA,NA,-0.390681997081492,-0.363298991206213,-0.448328856291388,0.938292830626095,0.686510407686535,0.770639586601044,0.175796292916054,-0.240759107434624,0.244224167268006,0.0855859709238826,0.443455767780927,0.230523036087364,0.0986324053976427,-0.160228235283419,-0.363016492968077,0.333333333333333,-0.76361088337157,0.876026033745724,0.478826998052161,-0.333333333333333,-0.333333333333333
"omni_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"piscivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"planktivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.228960644135606,-0.518740326353655,0.703579866223492,0.392350586265654,NA,NA,-0.450129433114792,NA,0.991340320385248,-0.206639147853941,NA,NA,NA,-0.392350586265654,NA,NA,1,NA,NA,NA,-0.272464508925361,-0.238031693053674,-0.365953895856812,-0.649978298935773,-0.617236289977843,-0.600501229248487,-0.549746347619852,-0.796830425563079,-0.543232891903671,-0.402345943605837,-0.685775683940521,-0.912441977124107,-0.504177636092017,-0.680663614502665,0.995103700724872,-0.991340320385248,-0.0647508498183776,-0.435520441636105,-0.917000839305525,-0.206639147853941,-0.206639147853941
"num_bai_chr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"num_ort_chr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"num_ops_tau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"seagrass_area",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.327958974126528,0.519971543657081,-0.57611553784056,0.204843745401756,NA,NA,-0.220746815486659,NA,-0.395567676000966,0.991093418484214,NA,NA,NA,-0.390681997081492,NA,NA,-0.272464508925361,NA,NA,NA,1,0.997655744399354,0.982757416023238,-0.352360341924254,0.400989352889619,0.2855362944489,0.837020305606078,0.586823301818161,0.797236210342012,0.877888961778312,0.643407375894229,0.0172175383569793,0.87748318319052,0.887498247676865,-0.362235326727538,0.395567676000966,0.887393839820796,-0.671471421402019,0.480059708829985,0.991093418484214,0.991093418484214
"seagrass_core.area",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.376918982230472,0.549564158659225,-0.52029705734601,0.271283038671535,NA,NA,-0.190782216202782,NA,-0.363298991206213,0.997881021083961,NA,NA,NA,-0.363298991206213,NA,NA,-0.238031693053674,NA,NA,NA,0.997655744399354,1,0.967813632536904,-0.347982064286018,0.425475097913488,0.312155887894744,0.848754544721867,0.534811735930547,0.812809076358485,0.896177390831238,0.655676547967858,-0.0354042876206042,0.888805475176877,0.865541178126836,-0.330327893837653,0.363298991206213,0.866949913738027,-0.670819361971487,0.468979569469767,0.997881021083961,0.997881021083961
"seagrass_perimeter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.193178480296448,0.433972335032724,-0.714766764203548,0.0210443511214508,NA,NA,-0.289029734009637,NA,-0.480063737782536,0.949436945195375,NA,NA,NA,-0.448328856291388,NA,NA,-0.365953895856812,NA,NA,NA,0.982757416023238,0.967813632536904,1,-0.347981462145066,0.332519892472165,0.214316640107861,0.789920451780565,0.716153506019455,0.741033862327584,0.81100484644403,0.601363751419804,0.164246418441414,0.829939337957592,0.928865528355268,-0.446694234035353,0.480063737782536,0.918492574864782,-0.651147884593293,0.505956836037058,0.949436945195375,0.949436945195375
"seagrass_perim.area.ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.486211266571057,0.518437402225425,0.0705605796074537,0.017903091741918,NA,NA,0.917996480652322,NA,-0.580736855723721,-0.339652883160456,NA,NA,NA,0.938292830626095,NA,NA,-0.649978298935773,NA,NA,NA,-0.352360341924254,-0.347982064286018,-0.347981462145066,1,0.660437277981804,0.734405112634035,0.191314978182285,0.0620838633979483,0.243653876106856,0.0568657394945953,0.473881778298249,0.55186936901706,0.1101876503011,0.00649109081685286,-0.609543895445137,0.580736855723721,-0.676892816510804,0.928222445886997,0.631656054612305,-0.339652883160456,-0.339652883160456
"saltmarsh_area",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.906958874454631,0.983611771134617,-0.0909961235449728,0.480706123430413,NA,NA,0.804276509599742,NA,-0.655070918254898,0.449266633998776,NA,NA,NA,0.686510407686535,NA,NA,-0.617236289977843,NA,NA,NA,0.400989352889619,0.425475097913488,0.332519892472165,0.660437277981804,1,0.992382892127509,0.836424483981364,0.235736582554587,0.872600274357038,0.776819437487738,0.951251460199448,0.257139056947275,0.791220341137933,0.547521540659038,-0.658339283180603,0.655070918254898,-0.0577604016123547,0.3461433585927,0.862838074039294,0.449266633998776,0.449266633998776
"saltmarsh_core.area",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.909470361460867,0.960598325316336,-0.00915386714853083,0.485116423486319,NA,NA,0.871334160837779,NA,-0.624086979922661,0.338563816807936,NA,NA,NA,0.770639586601044,NA,NA,-0.600501229248487,NA,NA,NA,0.2855362944489,0.312155887894744,0.214316640107861,0.734405112634035,0.992382892127509,1,0.762607998479179,0.159056382383773,0.806162272427054,0.696363920520949,0.907642659682869,0.256053952032469,0.710173893303773,0.449351871242758,-0.631931301037685,0.624086979922661,-0.180305621832155,0.448572513173884,0.832961560769168,0.338563816807936,0.338563816807936
"saltmarsh_perimeter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.727352903700333,0.895000146926364,-0.417613439515844,0.388607526788604,NA,NA,0.347090998765174,NA,-0.644849624716777,0.857660858589328,NA,NA,NA,0.175796292916054,NA,NA,-0.549746347619852,NA,NA,NA,0.837020305606078,0.848754544721867,0.789920451780565,0.191314978182285,0.836424483981364,0.762607998479179,1,0.510545819272,0.996990048015962,0.985482461198586,0.954962053481596,0.186434073422634,0.996628425281654,0.866905025347761,-0.626959428329557,0.644849624716777,0.498158202961494,-0.187422018257618,0.813255336419459,0.857660858589328,0.857660858589328
"saltmarsh_perim.area.ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.146754578539735,0.210668472079904,-0.988167457924515,-0.589534120969137,NA,NA,-0.16012482366379,NA,-0.832793119099337,0.484018105564824,NA,NA,NA,-0.240759107434624,NA,NA,-0.796830425563079,NA,NA,NA,0.586823301818161,0.534811735930547,0.716153506019455,0.0620838633979483,0.235736582554587,0.159056382383773,0.510545819272,1,0.459187704889442,0.418603210166727,0.471460719312102,0.789026954747314,0.514271697188473,0.853361165651691,-0.816100392927897,0.832793119099337,0.596037277873824,-0.140432639933107,0.673815393764502,0.484018105564824,0.484018105564824
"oyster_area",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.776996908897432,0.926517296237432,-0.358191485268772,0.435576366771225,NA,NA,0.412657990404401,NA,-0.634273654011827,0.825625853515045,NA,NA,NA,0.244224167268006,NA,NA,-0.543232891903671,NA,NA,NA,0.797236210342012,0.812809076358485,0.741033862327584,0.243653876106856,0.872600274357038,0.806162272427054,0.996990048015962,0.459187704889442,1,0.981082052819911,0.96842686761524,0.167987623535499,0.989047672084451,0.829283391149519,-0.618620555542491,0.634273654011827,0.43393389899467,-0.133313695290082,0.81904203330229,0.825625853515045,0.825625853515045
"oyster_core.area",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.730562724543814,0.862828455449948,-0.338919306264804,0.486373176194966,NA,NA,0.26271037098565,NA,-0.509935305842027,0.91072251111311,NA,NA,NA,0.0855859709238826,NA,NA,-0.402345943605837,NA,NA,NA,0.877888961778312,0.896177390831238,0.81100484644403,0.0568657394945953,0.776819437487738,0.696363920520949,0.985482461198586,0.418603210166727,0.981082052819911,1,0.901947169291681,0.0268228519257548,0.992860033767571,0.827058428171974,-0.488671231037832,0.509935305842027,0.558531570678351,-0.315360194560203,0.702927455436182,0.91072251111311,0.91072251111311
"oyster_perimeter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.803142951794121,0.961321243174845,-0.347769607497083,0.359755309971153,NA,NA,0.591059706300915,NA,-0.750282847078252,0.666582389268479,NA,NA,NA,0.443455767780927,NA,NA,-0.685775683940521,NA,NA,NA,0.643407375894229,0.655676547967858,0.601363751419804,0.473881778298249,0.951251460199448,0.907642659682869,0.954962053481596,0.471460719312102,0.96842686761524,0.901947169291681,1,0.328904936941445,0.927399007310435,0.776769113532024,-0.742985707378641,0.750282847078252,0.240065156393403,0.112473974011146,0.918521465064726,0.666582389268479,0.666582389268479
"oyster_perim.area.ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166524592643166,0.127399249368561,-0.740457663617002,-0.720931381109797,NA,NA,0.225542648541789,NA,-0.868039362944787,-0.0834150542523736,NA,NA,NA,0.230523036087364,NA,NA,-0.912441977124107,NA,NA,NA,0.0172175383569793,-0.0354042876206042,0.164246418441414,0.55186936901706,0.257139056947275,0.256053952032469,0.186434073422634,0.789026954747314,0.167987623535499,0.0268228519257548,0.328904936941445,1,0.145071764573289,0.467334629672701,-0.875821539467923,0.868039362944787,-0.018360122500371,0.472806378444427,0.673502313894471,-0.0834150542523736,-0.0834150542523736
"habitat_total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.694213639568042,0.862194111642919,-0.431353628168885,0.389364364621958,NA,NA,0.273753412496836,NA,-0.606211640279542,0.896943599503857,NA,NA,NA,0.0986324053976427,NA,NA,-0.504177636092017,NA,NA,NA,0.87748318319052,0.888805475176877,0.829939337957592,0.1101876503011,0.791220341137933,0.710173893303773,0.996628425281654,0.514271697188473,0.989047672084451,0.992860033767571,0.927399007310435,0.145071764573289,1,0.878652379340864,-0.585667946398207,0.606211640279542,0.562037820084985,-0.267359855948565,0.771668507019462,0.896943599503857,0.896943599503857
