,halodule,zostera,ruppia,algae,oyster,saltmarsh,other,richness,shannonD,evenness,seagrass,richness_comb,shannonD_comb,evenness_comb,total_cover,avg_blade_length,avg_shoot_density,max10,depth_m_avg,sal_avg,total_abund_sum,comm_richness_sum,comm_shannonD_sum,comm_evenness_sum,carnivore,herbivore,omnivore,soniferous_S,carn_2,detritivore,herb_2,invertivore,omni_2,piscivore,planktivore,num_bai_chr,num_ort_chr,num_ops_tau,seagrass_area,seagrass_core.area,seagrass_perimeter,seagrass_perim.area.ratio,saltmarsh_area,saltmarsh_core.area,saltmarsh_perimeter,saltmarsh_perim.area.ratio,oyster_area,oyster_core.area,oyster_perimeter,oyster_perim.area.ratio,habitat_total,NNratio,dist2adjPatch,richness_landscape,avg_temp,avg_spl_low,avg_spl_high,BI_low,BI_high
seagrass,0.999995654,0.999640809,NA,0.920049858,-0.355337794,-0.453152624,-0.116280484,0.548255029,-0.131786966,-0.311222048,1,0.147226721,-0.521243464,-0.521243464,0.541238155,0.847001998,0.999640809,0.922414543,-0.173717691,0.098293973,0.996994426,0.838582069,0.029222175,-0.158581316,0.999785561,NA,-0.160100015,0.808848894,0.999640809,0.43041743,NA,0.999788661,-0.15456264,0.999640809,0.347121285,0.962323203,0.999640809,NA,0.247024252,0.83911559,-0.136687669,-0.24538914,-0.281267933,-0.24015579,-0.413862028,-0.238859775,-0.154398006,0.050720574,-0.227125128,-0.425606885,-0.238859509,-0.183620042,-0.436774408,-0.481734682,0.3372186,-0.553863371,0.054158489,-0.520584115,0.455636739
richness_comb,0.14770093,0.142857143,NA,0.283025163,0.351323802,0.456471385,0.142857143,0.907841299,0.724638094,0.668803367,0.147226721,1,0.566680888,0.566680888,0.630044958,0.210324143,0.142857143,0.19800926,-0.119667875,-0.078811041,0.162075507,0.348311484,0.383958327,0.371167095,0.148234264,NA,0.177353775,0.363696484,0.142857143,0.223092906,NA,0.148556528,0.180117894,0.142857143,0.20215964,0.181640694,0.142857143,NA,0.232541021,0.161797094,0.228814606,-0.058759822,0.550930035,0.512592382,0.621731073,-0.123610371,0.476781135,0.479795991,0.447402565,-0.471011645,0.6127974,0.121604437,-0.024899202,-0.292770022,0.189804334,-0.317332297,0.345027077,-0.012559047,-0.129679246
shannonD_comb,-0.52156422,-0.518119758,NA,-0.433442863,0.207090623,0.832856951,-0.048215515,0.260652986,0.914589769,0.97322496,-0.521243464,0.566680888,1,1,-0.04916653,-0.49974013,-0.518119758,-0.523118326,-0.043698375,-0.250378201,-0.525712938,-0.509100871,-0.070945359,0.184448987,-0.520621332,NA,-0.008959177,-0.470638291,-0.518119758,-0.292694836,NA,-0.520768729,-0.046177349,-0.518119758,-0.283690943,-0.400696419,-0.518119758,NA,-0.473608396,-0.64543385,-0.239896172,-0.260511526,0.320027721,0.252697935,0.648381182,0.332128278,0.258557448,0.227370849,0.297461486,-0.197476619,0.261581946,0.422502702,0.485689493,-0.237024695,-0.288504041,0.192065912,0.260071186,0.348689671,-0.310643553
evenness_comb,-0.52156422,-0.518119758,NA,-0.433442863,0.207090623,0.832856951,-0.048215515,0.260652986,0.914589769,0.97322496,-0.521243464,0.566680888,1,1,-0.04916653,-0.49974013,-0.518119758,-0.523118326,-0.043698375,-0.250378201,-0.525712938,-0.509100871,-0.070945359,0.184448987,-0.520621332,NA,-0.008959177,-0.470638291,-0.518119758,-0.292694836,NA,-0.520768729,-0.046177349,-0.518119758,-0.283690943,-0.400696419,-0.518119758,NA,-0.473608396,-0.64543385,-0.239896172,-0.260511526,0.320027721,0.252697935,0.648381182,0.332128278,0.258557448,0.227370849,0.297461486,-0.197476619,0.261581946,0.422502702,0.485689493,-0.237024695,-0.288504041,0.192065912,0.260071186,0.348689671,-0.310643553
total_cover,0.540336923,0.549215175,NA,0.760462674,0.53578053,-0.094328027,-0.365768534,0.766528879,0.202653429,0.092899574,0.541238155,0.630044958,-0.04916653,-0.04916653,1,0.296347341,0.549215175,0.381492633,0.177591467,-0.337980408,0.564546643,0.558591725,-0.051875398,-0.143245914,0.551796079,NA,0.113236917,0.514304205,0.549215175,0.458943435,NA,0.551948067,-0.320048022,0.549215175,-0.098067444,0.479694482,0.549215175,NA,0.661587146,0.718771547,0.495051006,0.080195303,0.16673292,0.10430966,0.349922273,-0.32832779,0.701152255,0.599610405,0.655063903,-0.651564818,0.396607255,-0.220370317,-0.351401906,-0.203436984,0.359049711,-0.004067072,0.696067292,0.216432216,0.460910953
avg_blade_length,0.848565498,0.832451038,NA,0.685063159,-0.511122186,-0.314764102,0.42949382,0.530887148,-0.185898725,-0.332230785,0.847001998,0.210324143,-0.49974013,-0.49974013,0.296347341,1,0.832451038,0.986587573,-0.380237303,0.469004088,0.836739023,0.862852262,0.45856646,0.139766282,0.837187427,NA,-0.107417845,0.852230569,0.832451038,0.31356259,NA,0.837467334,0.37708168,0.832451038,0.79254801,0.777762715,0.832451038,NA,0.22236544,0.66451393,-0.095616765,-0.056305655,0.072322085,0.165725614,-0.418208539,-0.422483383,-0.399174057,-0.212380897,-0.44988043,-0.037705756,0.006546653,-0.290823775,-0.295393705,-0.281314835,0.491451846,-0.835162118,-0.282146807,-0.77750268,0.037079929
avg_shoot_density,0.999557456,1,NA,0.924469555,-0.344615377,-0.456471385,-0.142857143,0.544704779,-0.127995042,-0.307650509,0.999640809,0.142857143,-0.518119758,-0.518119758,0.549215175,0.832451038,1,0.911732939,-0.161903596,0.078811041,0.997025382,0.830588924,0.007340777,-0.172342417,0.999912095,NA,-0.161463573,0.800132264,1,0.432834099,NA,0.999901214,-0.180117894,1,0.321862806,0.963859393,1,NA,0.246273298,0.841144313,-0.137654841,-0.252940897,-0.296823691,-0.258679715,-0.410301946,-0.227674121,-0.140811163,0.063575452,-0.214061368,-0.441727253,-0.249303499,-0.176733044,-0.440376236,-0.487950036,0.326720654,-0.535210494,0.070676203,-0.503429022,0.473060201
max10,0.923549095,0.911732939,NA,0.780215643,-0.480443517,-0.367824431,0.276322618,0.554041032,-0.175523117,-0.336932043,0.922414543,0.19800926,-0.523118326,-0.523118326,0.381492633,0.986587573,0.911732939,1,-0.329586059,0.370915333,0.914035558,0.884363928,0.342122805,0.05284571,0.915218386,NA,-0.12720052,0.86751721,0.911732939,0.359970337,NA,0.915422691,0.226489939,0.911732939,0.682377079,0.860542787,0.911732939,NA,0.237401667,0.740434458,-0.111437882,-0.11625673,-0.033825492,0.046656526,-0.43091229,-0.380280827,-0.337411251,-0.138720719,-0.396581545,-0.158082502,-0.068589346,-0.267667577,-0.348722605,-0.352300018,0.460589187,-0.776819689,-0.188350162,-0.724711053,0.166848968
depth_m_avg,-0.175009656,-0.161903596,NA,-0.059717304,0.548736084,-0.368468705,-0.41531792,-0.16998877,-0.127217315,-0.092122687,-0.173717691,-0.119667875,-0.043698375,-0.043698375,0.177591467,-0.380237303,-0.161903596,-0.329586059,1,0.104852195,-0.172717403,-0.223119663,-0.261670478,-0.108540408,-0.163243337,NA,-0.113935212,-0.254480287,-0.161903596,-0.140599515,NA,-0.163322923,-0.422332824,-0.161903596,-0.471528203,-0.167962353,-0.161903596,NA,0.146227013,-0.056386046,0.234243666,-0.345144974,0.099436542,-0.01680167,0.569632288,0.183390842,0.57994405,0.408173635,0.616308487,-0.085872583,0.235550485,0.082783354,0.216143729,-0.245246165,-0.174557723,0.575604459,0.288130636,0.583268339,0.095268559
sal_avg,0.10043284,0.078811041,NA,-0.050596849,-0.405726105,-0.220046719,0.709299366,-0.033389028,-0.253065483,-0.257357125,0.098293973,-0.078811041,-0.250378201,-0.250378201,-0.337980408,0.469004088,0.078811041,0.370915333,0.104852195,1,0.056462735,0.192155534,0.640461034,0.529260989,0.084224508,NA,-0.401795606,0.200643088,0.078811041,-0.413878428,NA,0.084549315,0.570228089,0.078811041,0.71465065,0.100207045,0.078811041,NA,-0.116595207,-0.13001683,-0.111063072,-0.165391349,0.341210068,0.406710855,-0.051065092,-0.057439394,-0.40988162,-0.237346466,-0.408863892,0.46573739,0.184547654,0.015638161,0.249055903,-0.161514571,0.031877886,-0.476925669,-0.691257409,-0.533888441,-0.703589928
total_abund_sum,0.996947295,0.997025382,NA,0.918286706,-0.317758819,-0.471513018,-0.130349816,0.559728631,-0.13820611,-0.316897044,0.996994426,0.162075507,-0.525712938,-0.525712938,0.564546643,0.836739023,0.997025382,0.914035558,-0.172717403,0.056462735,1,0.861876137,0.034078319,-0.160637431,0.997545053,NA,-0.085824881,0.834113081,0.997025382,0.498411315,NA,0.997570693,-0.148998053,0.997025382,0.332463367,0.95684481,0.997025382,NA,0.285545242,0.868613407,-0.103706965,-0.228830905,-0.279189716,-0.240299606,-0.403236706,-0.246572627,-0.126649925,0.065363466,-0.201167164,-0.443591814,-0.22521085,-0.187983416,-0.480172763,-0.462553808,0.351856866,-0.555639508,0.072294831,-0.511679792,0.499149773
comm_richness_sum,0.839424559,0.830588924,NA,0.77651209,-0.130935052,-0.504385712,0.187552338,0.64701748,-0.19763339,-0.343144694,0.838582069,0.348311484,-0.509100871,-0.509100871,0.558591725,0.862852262,0.830588924,0.884363928,-0.223119663,0.192155534,0.861876137,1,0.470146394,0.215249346,0.837566963,NA,0.241782539,0.995897036,0.830588924,0.661953101,NA,0.837981562,0.236470725,0.830588924,0.560253496,0.796449803,0.830588924,NA,0.542299585,0.879101894,0.207826309,-0.006467409,0.002541973,0.057616884,-0.26028196,-0.307892396,-0.036324283,0.14681086,-0.130645462,-0.344934505,0.074584553,-0.15534616,-0.649535833,-0.237942042,0.396023952,-0.741974856,-0.11527501,-0.634977934,0.290620257
comm_shannonD_sum,0.03162791,0.007340777,NA,-0.010024481,-0.060300172,-0.0912505,0.807137661,0.328444999,-0.078794222,-0.076951402,0.029222175,0.383958327,-0.070945359,-0.070945359,-0.051875398,0.45856646,0.007340777,0.342122805,-0.261670478,0.640461034,0.034078319,0.470146394,1,0.863291965,0.019298499,NA,0.206163249,0.512025629,0.007340777,0.086864683,NA,0.020016892,0.81797461,0.007340777,0.775472032,0.054585268,0.007340777,NA,0.308020607,0.086854454,0.319263431,0.220330605,0.476634728,0.552312182,0.057021707,-0.092451532,-0.136277051,0.065972067,-0.202525141,0.175682567,0.424366239,0.128587884,-0.260450724,0.137420456,0.066506937,-0.703045897,-0.618138889,-0.626533154,-0.61968116
comm_evenness_sum,-0.1570606,-0.172342417,NA,-0.114315091,0.029741055,-0.041876765,0.53053729,0.241482301,0.132396186,0.158877715,-0.158581316,0.371167095,0.184448987,0.184448987,-0.143245914,0.139766282,-0.172342417,0.05284571,-0.108540408,0.529260989,-0.160637431,0.215249346,0.863291965,1,-0.163124712,NA,0.054784865,0.272242853,-0.172342417,-0.115850481,NA,-0.162569936,0.517745819,-0.172342417,0.428488442,-0.007964054,-0.172342417,NA,0.101658745,-0.152993901,0.198260174,-0.02370289,0.231999057,0.267821613,0.179467419,0.393929617,0.002275762,0.373925235,-0.101471623,-0.090863221,0.214604759,0.586745313,-0.263060703,-0.046898261,-0.425724421,-0.495039667,-0.633006012,-0.481387017,-0.688841415
carnivore,0.999727794,0.999912095,NA,0.925141818,-0.340846272,-0.459208677,-0.134253631,0.549223672,-0.13093731,-0.310457044,0.999785561,0.148234264,-0.520621332,-0.520621332,0.551796079,0.837187427,0.999912095,0.915218386,-0.163243337,0.084224508,0.997545053,0.837566963,0.019298499,-0.163124712,1,NA,-0.155383414,0.807423409,0.999912095,0.437202101,NA,0.999999683,-0.170410336,0.999912095,0.330052601,0.963454202,0.999912095,NA,0.254881368,0.844977259,-0.128961881,-0.247099047,-0.289490951,-0.250731044,-0.407940581,-0.231510263,-0.138635688,0.065989596,-0.212612009,-0.439990965,-0.241253845,-0.177884785,-0.44567897,-0.483411992,0.330007207,-0.541872203,0.066207606,-0.508370815,0.468168306
herbivore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
omnivore,-0.159942999,-0.161463573,NA,-0.208415653,0.366844351,-0.118122358,0.071281143,0.081869602,-0.086727345,-0.05335833,-0.160100015,0.177353775,-0.008959177,-0.008959177,0.113236917,-0.107417845,-0.161463573,-0.12720052,-0.113935212,-0.401795606,-0.085824881,0.241782539,0.206163249,0.054784865,-0.155383414,NA,1,0.27900326,-0.161463573,0.810663064,NA,-0.155017207,0.322632788,-0.161463573,-0.005846832,-0.20957569,-0.161463573,NA,0.401786657,0.231393588,0.37183443,0.287539869,0.180272517,0.177428885,0.115615655,-0.184523912,0.185819414,-0.016800988,0.187121694,0.002334075,0.255444709,-0.120977732,-0.432774686,0.352612005,0.268376086,-0.128778048,0.077875555,0.014708434,0.38051192
soniferous_S,0.809772274,0.800132264,NA,0.733835219,-0.152352167,-0.48900797,0.21821789,0.647150229,-0.16743367,-0.308541354,0.808848894,0.363696484,-0.470638291,-0.470638291,0.514304205,0.852230569,0.800132264,0.86751721,-0.254480287,0.200643088,0.834113081,0.995897036,0.512025629,0.272242853,0.807423409,NA,0.27900326,1,0.800132264,0.674761726,NA,0.80785699,0.275134628,0.800132264,0.57562312,0.782403229,0.800132264,NA,0.507326618,0.843490068,0.179620772,-0.029564383,-0.000353561,0.058030229,-0.259887994,-0.259480873,-0.065499601,0.144076399,-0.164385331,-0.346636816,0.06044478,-0.096963571,-0.662838567,-0.248451997,0.355978957,-0.781946638,-0.168721679,-0.674805504,0.261919847
carn_2,0.999557456,1,NA,0.924469555,-0.344615377,-0.456471385,-0.142857143,0.544704779,-0.127995042,-0.307650509,0.999640809,0.142857143,-0.518119758,-0.518119758,0.549215175,0.832451038,1,0.911732939,-0.161903596,0.078811041,0.997025382,0.830588924,0.007340777,-0.172342417,0.999912095,NA,-0.161463573,0.800132264,1,0.432834099,NA,0.999901214,-0.180117894,1,0.321862806,0.963859393,1,NA,0.246273298,0.841144313,-0.137654841,-0.252940897,-0.296823691,-0.258679715,-0.410301946,-0.227674121,-0.140811163,0.063575452,-0.214061368,-0.441727253,-0.249303499,-0.176733044,-0.440376236,-0.487950036,0.326720654,-0.535210494,0.070676203,-0.503429022,0.473060201
detritivore,0.430132713,0.432834099,NA,0.365918815,0.186303987,-0.387398787,-0.145340418,0.372404936,-0.134754536,-0.209293033,0.43041743,0.223092906,-0.292694836,-0.292694836,0.458943435,0.31356259,0.432834099,0.359970337,-0.140599515,-0.413878428,0.498411315,0.661953101,0.086864683,-0.115850481,0.437202101,NA,0.810663064,0.674761726,0.432834099,1,NA,0.437462113,0.066894803,0.432834099,0.059430606,0.373784634,0.432834099,NA,0.504621931,0.706733903,0.254349306,0.079315801,-0.082173264,-0.076967376,-0.114833131,-0.245917321,0.153054236,0.083202641,0.109379292,-0.330682089,0.038301832,-0.179251902,-0.665963087,0.009120956,0.38283489,-0.337086296,0.191110203,-0.195253749,0.703659964
herb_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
invertivore,0.999732431,0.999901214,NA,0.925177032,-0.34061789,-0.459370581,-0.133735921,0.549492123,-0.131113368,-0.310623941,0.999788661,0.148556528,-0.520768729,-0.520768729,0.551948067,0.837467334,0.999901214,0.915422691,-0.163322923,0.084549315,0.997570693,0.837981562,0.020016892,-0.162569936,0.999999683,NA,-0.155017207,0.80785699,0.999901214,0.437462113,NA,1,-0.169826085,0.999901214,0.330542852,0.963424461,0.999901214,NA,0.255397172,0.845202837,-0.128438827,-0.246746645,-0.289048729,-0.250252029,-0.40779641,-0.231739468,-0.138504194,0.066134285,-0.212523731,-0.439884174,-0.240768816,-0.177952994,-0.445995099,-0.483136608,0.330202838,-0.542269449,0.065938732,-0.508664905,0.467871746
omni_2,-0.15174471,-0.180117894,NA,-0.324742226,-0.238654013,0.143911639,0.967107829,0.076308616,-0.138703393,-0.09977535,-0.15456264,0.180117894,-0.046177349,-0.046177349,-0.320048022,0.37708168,-0.180117894,0.226489939,-0.422332824,0.570228089,-0.148998053,0.236470725,0.81797461,0.517745819,-0.170410336,NA,0.322632788,0.275134628,-0.180117894,0.066894803,NA,-0.169826085,1,-0.180117894,0.842545667,-0.229017175,-0.180117894,NA,0.097398361,-0.11854533,0.145898679,0.369667173,0.62827928,0.726698854,-0.043397553,-0.409965125,-0.410820612,-0.462584491,-0.382904526,0.621102086,0.462347265,-0.24966728,0.071726901,0.369131839,0.394688563,-0.618447725,-0.567690414,-0.53349269,-0.573291246
piscivore,0.999557456,1,NA,0.924469555,-0.344615377,-0.456471385,-0.142857143,0.544704779,-0.127995042,-0.307650509,0.999640809,0.142857143,-0.518119758,-0.518119758,0.549215175,0.832451038,1,0.911732939,-0.161903596,0.078811041,0.997025382,0.830588924,0.007340777,-0.172342417,0.999912095,NA,-0.161463573,0.800132264,1,0.432834099,NA,0.999901214,-0.180117894,1,0.321862806,0.963859393,1,NA,0.246273298,0.841144313,-0.137654841,-0.252940897,-0.296823691,-0.258679715,-0.410301946,-0.227674121,-0.140811163,0.063575452,-0.214061368,-0.441727253,-0.249303499,-0.176733044,-0.440376236,-0.487950036,0.326720654,-0.535210494,0.070676203,-0.503429022,0.473060201
planktivore,0.349884565,0.321862806,NA,0.153146189,-0.494088508,-0.035469767,0.891095032,0.307653775,-0.176780401,-0.229098847,0.347121285,0.20215964,-0.283690943,-0.283690943,-0.098067444,0.79254801,0.321862806,0.682377079,-0.471528203,0.71465065,0.332463367,0.560253496,0.775472032,0.428488442,0.330052601,NA,-0.005846832,0.57562312,0.321862806,0.059430606,NA,0.330542852,0.842545667,0.321862806,1,0.268191367,0.321862806,NA,0.108920602,0.209736834,-0.011884911,0.182163141,0.450243817,0.567862998,-0.263036375,-0.47133062,-0.527098504,-0.432862021,-0.533125279,0.421712284,0.285555542,-0.302427178,-0.020085048,0.056328495,0.480171787,-0.838016203,-0.559885466,-0.774470613,-0.4572649
num_bai_chr,0.962112012,0.963859393,NA,0.895255844,-0.384904434,-0.446539593,-0.181640694,0.562255498,-0.008923485,-0.186733667,0.962323203,0.181640694,-0.400696419,-0.400696419,0.479694482,0.777762715,0.963859393,0.860542787,-0.167962353,0.100207045,0.95684481,0.796449803,0.054585268,-0.007964054,0.963454202,NA,-0.20957569,0.782403229,0.963859393,0.373784634,NA,0.963424461,-0.229017175,0.963859393,0.268191367,1,0.963859393,NA,0.127841692,0.749058323,-0.238641993,-0.404041176,-0.40462433,-0.370766333,-0.393827673,0.023153357,-0.154653114,0.188912934,-0.257974164,-0.573321452,-0.362418146,0.089239438,-0.487323851,-0.620421083,0.08866494,-0.579699428,-0.042193377,-0.5726167,0.392591801
num_ort_chr,0.999557456,1,NA,0.924469555,-0.344615377,-0.456471385,-0.142857143,0.544704779,-0.127995042,-0.307650509,0.999640809,0.142857143,-0.518119758,-0.518119758,0.549215175,0.832451038,1,0.911732939,-0.161903596,0.078811041,0.997025382,0.830588924,0.007340777,-0.172342417,0.999912095,NA,-0.161463573,0.800132264,1,0.432834099,NA,0.999901214,-0.180117894,1,0.321862806,0.963859393,1,NA,0.246273298,0.841144313,-0.137654841,-0.252940897,-0.296823691,-0.258679715,-0.410301946,-0.227674121,-0.140811163,0.063575452,-0.214061368,-0.441727253,-0.249303499,-0.176733044,-0.440376236,-0.487950036,0.326720654,-0.535210494,0.070676203,-0.503429022,0.473060201
