,deploy_num,halodule,algae,oyster,saltmarsh,other,shannonD,evenness,seagrass,shannonD_comb,evenness_comb,total_cover,avg_blade_length,max10,depth_m_avg,sal_avg,total_abund_sum,comm_richness_sum,comm_shannonD_sum,carnivore,omnivore,soniferous_S,detritivore,invertivore,omni_2,planktivore,num_bai_chr,seagrass_area,seagrass_core.area,seagrass_perimeter,seagrass_perim.area.ratio,saltmarsh_area,saltmarsh_core.area,saltmarsh_perimeter,saltmarsh_perim.area.ratio,oyster_area,oyster_core.area,oyster_perimeter,oyster_perim.area.ratio,habitat_total,NNratio,dist2adjPatch,richness_landscape,avg_temp,avgTempAll,avgTempNight,medTemp,minTemp,maxTemp,avg_spl_low,avg_spl_high,TFPercentPresenceNight,TFAvgPresentNight,TFMaxRate,PerchPercentPresenceNight,PerchAvgPresentNight,PerchMaxRate
evenness_comb,-0.234451208,-0.224972407,-0.037337808,-0.126947001,-0.415752242,-0.224972407,1,1,-0.224972407,1,1,-0.461302633,-0.224972407,-0.224972407,-0.140712792,0.278699612,-0.443284365,-0.68278045,-0.641144323,-0.933580187,-0.240053954,-0.596699741,-0.208636282,-0.933580187,-0.265867627,-0.224972407,0.369960042,-0.697845987,-0.902704281,-0.486406587,-0.143376046,-0.068392765,-0.125792429,0.490554749,0.371021772,-0.043326037,-0.046669628,0.011742153,0.226585557,-0.174714154,0.412209879,0.473391206,-0.54998194,-0.342523082,-0.245885205,-0.290061745,-0.240726666,-0.39401664,-0.189813793,0.162696807,0.092078099,-0.162329,-0.077066022,-0.145086379,0.079503963,-0.110069314,-0.046234835
total_cover,0.239846508,-0.472158744,0.694854754,0.796064601,0.090959202,-0.472158744,-0.461302633,-0.461302633,-0.472158744,-0.461302633,-0.461302633,1,-0.472158744,-0.472158744,0.545815371,-0.660229601,0.214802933,0.077560823,-0.141794736,0.136928979,0.197061978,0.059110892,0.264952375,0.136928979,-0.400134565,-0.472158744,-0.330019798,0.742006614,0.636309911,0.687728773,0.137925032,0.107277637,0.058415572,0.049482763,-0.470883959,0.816019405,0.589225523,0.799258756,-0.521230111,0.389620114,-0.515792382,-0.162180018,0.214080026,0.053709269,0.049774128,0.166821843,0.066490209,0.431146297,-0.307520378,0.716302967,0.78394379,0.638645137,0.53842137,0.592516521,0.153754171,0.596325709,0.426573096
avg_blade_length,-0.21821789,1,-0.32736537,-0.38243824,-0.081936334,1,-0.224972407,-0.224972407,1,-0.224972407,-0.224972407,-0.472158744,1,1,-0.384765941,0.544704779,0.141630088,0.531517837,0.748970183,0.337040721,0.066777254,0.544704779,-0.076930124,0.337040721,0.967107829,1,-0.142857143,0.048893693,-0.149668204,0.080536628,0.276725175,0.627723259,0.717563363,-0.269548206,-0.420492958,-0.470362687,-0.454529797,-0.460619425,0.652534519,0.429545122,-0.327272069,0.202264789,0.21821789,0.295232324,0.237322761,0.253935863,0.228774924,0.21702506,0.053798735,-0.372866023,-0.542969266,-0.211990291,-0.242167048,-0.222122061,-0.146398136,-0.232043947,-0.228476634
max10,-0.21821789,1,-0.32736537,-0.38243824,-0.081936334,1,-0.224972407,-0.224972407,1,-0.224972407,-0.224972407,-0.472158744,1,1,-0.384765941,0.544704779,0.141630088,0.531517837,0.748970183,0.337040721,0.066777254,0.544704779,-0.076930124,0.337040721,0.967107829,1,-0.142857143,0.048893693,-0.149668204,0.080536628,0.276725175,0.627723259,0.717563363,-0.269548206,-0.420492958,-0.470362687,-0.454529797,-0.460619425,0.652534519,0.429545122,-0.327272069,0.202264789,0.21821789,0.295232324,0.237322761,0.253935863,0.228774924,0.21702506,0.053798735,-0.372866023,-0.542969266,-0.211990291,-0.242167048,-0.222122061,-0.146398136,-0.232043947,-0.228476634
depth_m_avg,-0.138920289,-0.384765941,0.338368735,0.613452365,-0.227982013,-0.384765941,-0.140712792,-0.140712792,-0.384765941,-0.140712792,-0.140712792,0.545815371,-0.384765941,-0.384765941,1,-0.026674308,-0.076767292,-0.065691078,-0.131149981,-0.024488793,-0.076684091,-0.074095299,-0.021431462,-0.024488793,-0.384438787,-0.384765941,0.006995744,0.278362445,0.158355,0.296211411,-0.414977224,0.202007587,0.094040886,0.603379503,-0.052769589,0.685677303,0.557206366,0.704684963,-0.28651556,0.368568317,-0.066594705,0.189139532,-0.438133218,-0.163070128,-0.13779204,-0.113467479,-0.137775958,-0.051267259,-0.077136746,0.514979073,0.401196541,0.777212015,0.741305922,0.730233713,0.397887397,0.5249721,0.505299266
sal_avg,-0.554700196,0.544704779,-0.254781481,-0.267517507,-0.501233251,0.544704779,0.278699612,0.278699612,0.544704779,0.278699612,0.278699612,-0.660229601,0.544704779,0.544704779,-0.026674308,1,-0.328601638,0.032168923,0.215928527,-0.093121889,-0.331240564,-0.025641026,-0.409814793,-0.093121889,0.437905319,0.544704779,0.060522753,-0.282618304,-0.598305539,-0.126581468,0.143633008,0.329956857,0.312096441,0.462093216,0.280193024,-0.322110407,-0.2882292,-0.278600311,0.744806773,0.161401917,0.318230472,0.281575746,-0.092450033,0.048927506,0.135129661,-0.011862622,0.080307312,-0.360261226,0.528464093,-0.438977162,-0.620029773,0.089811652,0.102596316,0.094104071,0.138090476,0.001082216,0.060650185
total_abund_sum,0.422241627,0.141630088,-0.150302959,0.285262863,-0.163553261,0.141630088,-0.443284365,-0.443284365,0.141630088,-0.443284365,-0.443284365,0.214802933,0.141630088,0.141630088,-0.076767292,-0.328601638,1,0.783683265,0.333418622,0.42146196,0.972691983,0.774254076,0.951907881,0.42146196,0.379954349,0.141630088,-0.219024911,0.541217533,0.555570638,0.414494679,0.231807722,0.126654464,0.157802811,-0.225572086,-0.30954631,0.113018979,-0.018277531,0.085522128,-0.043010115,0.215533014,-0.28174968,-0.547548744,0.377001345,0.264874306,0.158026205,0.224206343,0.187157905,0.288184664,0.005231883,-0.072043396,0.022911078,-0.268761422,-0.31243657,-0.277516026,-0.294649629,-0.314085879,-0.300614346
comm_richness_sum,-0.038662234,0.531517837,-0.067174425,0.154722931,-0.172192463,0.531517837,-0.68278045,-0.68278045,0.531517837,-0.68278045,-0.68278045,0.077560823,0.531517837,0.531517837,-0.065691078,0.032168923,0.783683265,1,0.815355156,0.72305189,0.661758949,0.975790661,0.585318761,0.72305189,0.670151114,0.531517837,-0.07593112,0.641633612,0.546899015,0.536066055,0.272897931,0.2667096,0.336777512,-0.344593136,-0.308038381,-0.005378569,0.060591134,-0.081325099,0.056884961,0.322077025,-0.22180003,-0.565022688,0.42528457,0.132263374,0.030849582,0.062288987,0.026304863,0.109548781,0.143861603,-0.249732122,-0.363857445,-0.059962921,-0.054093102,-0.02151349,0.039153431,-0.05408112,0.007654613
comm_shannonD_sum,-0.320735858,0.748970183,-0.120239442,-0.189940787,0.068819683,0.748970183,-0.641144323,-0.641144323,0.748970183,-0.641144323,-0.641144323,-0.141794736,0.748970183,0.748970183,-0.131149981,0.215928527,0.333418622,0.815355156,1,0.740311229,0.170802837,0.831640105,0.063612148,0.740311229,0.750658962,0.748970183,0.136341466,0.363199797,0.338728791,0.278305973,0.047123547,0.291151467,0.3966679,-0.51414637,-0.281461148,-0.251519911,0.003569365,-0.343505357,0.063375032,0.244005312,-0.160938916,-0.286293043,0.206105647,-0.036160798,-0.14242179,-0.110321552,-0.153812735,-0.008970614,0.023234532,-0.32951772,-0.58186387,-0.040755048,0.020052068,0.022744713,0.220419505,0.012506304,0.115813769
carnivore,0.156512066,0.337040721,-0.223066958,-0.156326408,0.43107645,0.337040721,-0.933580187,-0.933580187,0.337040721,-0.933580187,-0.933580187,0.136928979,0.337040721,0.337040721,-0.024488793,-0.093121889,0.42146196,0.72305189,0.740311229,1,0.199473895,0.632054942,0.152075173,1,0.361268438,0.337040721,-0.209375054,0.478363786,0.792415471,0.249918692,0.048505872,-0.08255822,-0.003800834,-0.565313526,-0.12541517,-0.251866538,-0.114600814,-0.320231608,-0.146291809,-0.053174413,-0.156040044,-0.552885915,0.49898333,0.285763563,0.180425077,0.172429982,0.166435874,0.179422291,0.361535455,-0.479858928,-0.425533701,-0.07318809,-0.106476606,-0.059416475,-0.097077565,-0.100953822,-0.078561117
omnivore,0.416200156,0.066777254,-0.105319472,0.348254578,-0.287059853,0.066777254,-0.240053954,-0.240053954,0.066777254,-0.240053954,-0.240053954,0.197061978,0.066777254,0.066777254,-0.076684091,-0.331240564,0.972691983,0.661758949,0.170802837,0.199473895,1,0.674860047,0.989672808,0.199473895,0.318100438,0.066777254,-0.183082111,0.462385669,0.397516145,0.383922445,0.238067867,0.157988058,0.171488466,-0.09905722,-0.302384907,0.186587144,0.009581133,0.174372576,-0.0090329,0.246506272,-0.26451075,-0.450153608,0.279662544,0.213074201,0.124578754,0.198136755,0.159637774,0.265479653,-0.086878647,0.044968602,0.133668676,-0.271681409,-0.310355181,-0.284666031,-0.293540901,-0.313550871,-0.304725277
soniferous_S,-0.092450033,0.544704779,-0.043992451,0.143247945,-0.181279458,0.544704779,-0.596699741,-0.596699741,0.544704779,-0.596699741,-0.596699741,0.059110892,0.544704779,0.544704779,-0.074095299,-0.025641026,0.774254076,0.975790661,0.831640105,0.632054942,0.674860047,1,0.596424778,0.632054942,0.686777544,0.544704779,0.060522753,0.576952255,0.467432703,0.487499418,0.168977254,0.296732346,0.374845882,-0.387311228,-0.354814216,0.015489855,0.127953668,-0.071669945,-0.01382483,0.342161027,-0.230253144,-0.493876456,0.277350098,0.000833071,-0.116859565,-0.052786699,-0.109581899,0.074596626,-0.052475371,-0.148857304,-0.327964501,-0.089309434,-0.048280711,-0.036386907,0.112992047,-0.056414939,0.03532156
detritivore,0.447906688,-0.076930124,-0.058771243,0.402394602,-0.27388789,-0.076930124,-0.208636282,-0.208636282,-0.076930124,-0.208636282,-0.208636282,0.264952375,-0.076930124,-0.076930124,-0.021431462,-0.409814793,0.951907881,0.585318761,0.063612148,0.152075173,0.989672808,0.596424778,1,0.152075173,0.178916777,-0.076930124,-0.162692283,0.455185431,0.419801357,0.371827051,0.197740915,0.067155256,0.06783913,-0.061213119,-0.241765737,0.253468023,0.074511905,0.239806481,-0.103306142,0.184062843,-0.21745261,-0.479406591,0.248516568,0.170922701,0.090640001,0.161777699,0.126918862,0.234463447,-0.094266356,0.097876787,0.211248223,-0.241424291,-0.275790971,-0.252962818,-0.272730997,-0.280444545,-0.272124682
invertivore,0.156512066,0.337040721,-0.223066958,-0.156326408,0.43107645,0.337040721,-0.933580187,-0.933580187,0.337040721,-0.933580187,-0.933580187,0.136928979,0.337040721,0.337040721,-0.024488793,-0.093121889,0.42146196,0.72305189,0.740311229,1,0.199473895,0.632054942,0.152075173,1,0.361268438,0.337040721,-0.209375054,0.478363786,0.792415471,0.249918692,0.048505872,-0.08255822,-0.003800834,-0.565313526,-0.12541517,-0.251866538,-0.114600814,-0.320231608,-0.146291809,-0.053174413,-0.156040044,-0.552885915,0.49898333,0.285763563,0.180425077,0.172429982,0.166435874,0.179422291,0.361535455,-0.479858928,-0.425533701,-0.07318809,-0.106476606,-0.059416475,-0.097077565,-0.100953822,-0.078561117
omni_2,-0.106886834,0.967107829,-0.333186899,-0.270116118,-0.160901555,0.967107829,-0.265867627,-0.265867627,0.967107829,-0.265867627,-0.265867627,-0.400134565,0.967107829,0.967107829,-0.384438787,0.437905319,0.379954349,0.670151114,0.750658962,0.361268438,0.318100438,0.686777544,0.178916777,0.361268438,1,0.967107829,-0.180117894,0.162838688,-0.049965961,0.176324236,0.32687259,0.641141447,0.729103528,-0.273369138,-0.476430645,-0.394748387,-0.426406988,-0.3881316,0.622171086,0.475523867,-0.377035311,0.081939378,0.275134628,0.331270912,0.255148122,0.28949443,0.255807543,0.270824335,0.02667308,-0.337591501,-0.479124951,-0.267282713,-0.305330331,-0.280057105,-0.210192306,-0.296476308,-0.290950049
planktivore,-0.21821789,1,-0.32736537,-0.38243824,-0.081936334,1,-0.224972407,-0.224972407,1,-0.224972407,-0.224972407,-0.472158744,1,1,-0.384765941,0.544704779,0.141630088,0.531517837,0.748970183,0.337040721,0.066777254,0.544704779,-0.076930124,0.337040721,0.967107829,1,-0.142857143,0.048893693,-0.149668204,0.080536628,0.276725175,0.627723259,0.717563363,-0.269548206,-0.420492958,-0.470362687,-0.454529797,-0.460619425,0.652534519,0.429545122,-0.327272069,0.202264789,0.21821789,0.295232324,0.237322761,0.253935863,0.228774924,0.21702506,0.053798735,-0.372866023,-0.542969266,-0.211990291,-0.242167048,-0.222122061,-0.146398136,-0.232043947,-0.228476634
num_bai_chr,-0.654653671,-0.142857143,0.08541168,-0.170051996,-0.177178568,-0.142857143,0.369960042,0.369960042,-0.142857143,0.369960042,0.369960042,-0.330019798,-0.142857143,-0.142857143,0.006995744,0.060522753,-0.219024911,-0.07593112,0.136341466,-0.209375054,-0.183082111,0.060522753,-0.162692283,-0.209375054,-0.180117894,-0.142857143,1,-0.38271657,-0.352117158,-0.327424166,-0.546902541,-0.423508114,-0.398517947,-0.097680288,0.540459652,-0.038182827,0.495569008,-0.163783156,-0.478805212,-0.424246992,0.704374852,-0.169498436,-0.654653671,-0.944109964,-0.956053748,-0.975212865,-0.958987131,-0.853085926,-0.29651861,0.001018513,-0.360536158,-0.081980782,0.205596513,0.085887197,0.725522828,0.137805987,0.435390056
seagrass_area,0.028416611,0.048893693,0.588124674,0.733609973,-0.191869399,0.048893693,-0.697845987,-0.697845987,0.048893693,-0.697845987,-0.697845987,0.742006614,0.048893693,0.048893693,0.278362445,-0.282618304,0.541217533,0.641633612,0.363199797,0.478363786,0.462385669,0.576952255,0.455185431,0.478363786,0.162838688,0.048893693,-0.38271657,1,0.698832566,0.955216425,0.532000261,0.311068804,0.31043804,-0.064295215,-0.513820712,0.619127113,0.448767134,0.569903226,-0.159883498,0.556261306,-0.500683455,-0.464543201,0.584609218,0.177811769,0.162726589,0.229467682,0.15079173,0.365009585,0.019555252,0.34388358,0.31842805,0.525926849,0.435826649,0.51585511,0.16569868,0.531461874,0.403544685
seagrass_core.area,0.45132212,-0.149668204,0.109549276,0.267039948,0.451713182,-0.149668204,-0.902704281,-0.902704281,-0.149668204,-0.902704281,-0.902704281,0.636309911,-0.149668204,-0.149668204,0.158355,-0.598305539,0.555570638,0.546899015,0.338728791,0.792415471,0.397516145,0.467432703,0.419801357,0.792415471,-0.049965961,-0.149668204,-0.352117158,0.698832566,1,0.459230216,0.102098896,-0.181314672,-0.146381439,-0.475769102,-0.270896564,0.191034888,0.156813154,0.132995593,-0.473606492,-0.001958899,-0.344374451,-0.618078093,0.537867844,0.284617412,0.190415525,0.24842985,0.200003869,0.390214829,0.110061439,-0.027342078,0.154014894,0.09061498,0.011046367,0.075210977,-0.146926039,0.06738687,-0.001663602
seagrass_perimeter,-0.15240686,0.080536628,0.717461849,0.819268959,-0.413620639,0.080536628,-0.486406587,-0.486406587,0.080536628,-0.486406587,-0.486406587,0.687728773,0.080536628,0.080536628,0.296211411,-0.126581468,0.414494679,0.536066055,0.278305973,0.249918692,0.383922445,0.487499418,0.371827051,0.249918692,0.176324236,0.080536628,-0.327424166,0.955216425,0.459230216,1,0.615266923,0.437988422,0.41926383,0.125023619,-0.515176215,0.71561055,0.518331264,0.677692291,-0.032324922,0.678188093,-0.472995848,-0.321264818,0.500148674,0.088472743,0.113672788,0.172411898,0.09431152,0.287238325,-0.027873364,0.464113081,0.362173891,0.640331911,0.561637742,0.634686595,0.282158149,0.662053113,0.526913276
seagrass_perim.area.ratio,0.032441912,0.276725175,0.340491765,0.294357072,-0.319498192,0.276725175,-0.143376046,-0.143376046,0.276725175,-0.143376046,-0.143376046,0.137925032,0.276725175,0.276725175,-0.414977224,0.143633008,0.231807722,0.272897931,0.047123547,0.048505872,0.238067867,0.168977254,0.197740915,0.048505872,0.32687259,0.276725175,-0.546902541,0.532000261,0.102098896,0.615266923,1,0.295109552,0.309166166,0.008670899,-0.311626583,0.123803297,-0.135655004,0.144545214,0.476748596,0.358465915,-0.338559185,-0.23929708,0.835407431,0.432476504,0.506983194,0.476428719,0.472023238,0.345397568,0.312552128,-0.022497189,0.086084931,0.085785914,-0.037333702,0.061002993,-0.212349209,0.196630078,0.010143517
saltmarsh_area,-0.079582336,0.627723259,0.123322476,0.289781311,-0.364992986,0.627723259,-0.068392765,-0.068392765,0.627723259,-0.068392765,-0.068392765,0.107277637,0.627723259,0.627723259,0.202007587,0.329956857,0.126654464,0.2667096,0.291151467,-0.08255822,0.157988058,0.296732346,0.067155256,-0.08255822,0.641141447,0.627723259,-0.423508114,0.311068804,-0.181314672,0.437988422,0.295109552,1,0.988469909,0.292005435,-0.780540273,0.239352113,-0.111310661,0.321250777,0.599671943,0.944510863,-0.716714741,0.570384801,0.027908892,0.372831636,0.365459097,0.462640583,0.377762094,0.534440689,-0.261482616,0.360601775,0.216083664,0.35246854,0.209966521,0.251659768,-0.102124788,0.162426809,0.009421409
saltmarsh_core.area,-0.081158902,0.717563363,0.080885061,0.201955048,-0.294500172,0.717563363,-0.125792429,-0.125792429,0.717563363,-0.125792429,-0.125792429,0.058415572,0.717563363,0.717563363,0.094040886,0.312096441,0.157802811,0.336777512,0.3966679,-0.003800834,0.171488466,0.374845882,0.06783913,-0.003800834,0.729103528,0.717563363,-0.398517947,0.31043804,-0.146381439,0.41926383,0.309166166,0.988469909,1,0.152822183,-0.80960223,0.14781229,-0.155715859,0.216277548,0.593158499,0.913926354,-0.733399694,0.52736203,0.074504148,0.371817118,0.34631235,0.45139041,0.360330714,0.54683172,-0.285029538,0.293778422,0.138542008,0.265593,0.135545651,0.176410158,-0.1183557,0.109746849,-0.030082591
saltmarsh_perimeter,-0.221708334,-0.269548206,0.199165153,0.48073242,-0.698919752,-0.269548206,0.490554749,0.490554749,-0.269548206,0.490554749,0.490554749,0.049482763,-0.269548206,-0.269548206,0.603379503,0.462093216,-0.225572086,-0.344593136,-0.51414637,-0.565313526,-0.09905722,-0.387311228,-0.061213119,-0.565313526,-0.273369138,-0.269548206,-0.097680288,-0.064295215,-0.475769102,0.125023619,0.008670899,0.292005435,0.152822183,1,0.18047178,0.476397581,0.192833911,0.569754533,0.342132417,0.34421286,0.152375724,0.385565806,-0.335652239,-0.00954533,0.12210605,0.04567347,0.098595198,-0.181140844,0.220238758,0.317943292,0.272760218,0.538889182,0.477424096,0.475207575,0.16714613,0.317124451,0.264187335
saltmarsh_perim.area.ratio,-0.291934184,-0.420492958,-0.234262814,-0.3207553,-0.093961031,-0.420492958,0.371021772,0.371021772,-0.420492958,0.371021772,0.371021772,-0.470883959,-0.420492958,-0.420492958,-0.052769589,0.280193024,-0.30954631,-0.308038381,-0.281461148,-0.12541517,-0.302384907,-0.354814216,-0.241765737,-0.12541517,-0.476430645,-0.420492958,0.540459652,-0.513820712,-0.270896564,-0.515176215,-0.311626583,-0.780540273,-0.80960223,0.18047178,1,-0.289450962,0.054123219,-0.337129602,-0.187067784,-0.802179434,0.971625611,-0.344784987,-0.257749391,-0.442294974,-0.371445309,-0.554642567,-0.412079509,-0.83541749,0.521092997,-0.498088683,-0.495304799,-0.213639988,-0.049839839,-0.112197805,0.264373864,-0.116738888,0.092559524
