,deploy_num,halodule,zostera,ruppia,algae,oyster,other,richness,shannonD,evenness,seagrass,richness_comb,shannonD_comb,total_cover,avg_blade_length,avg_shoot_density,max10,depth_m_avg,sal_avg,total_abund_sum,comm_richness_sum,comm_shannonD_sum,comm_evenness_sum,carnivore,herbivore,omnivore,soniferous_S,carn_2,detritivore,herb_2,invertivore,omni_2,piscivore,planktivore,num_bai_chr,num_ort_chr,num_ops_tau,seagrass_area,seagrass_core.area,seagrass_perimeter,seagrass_perim.area.ratio,saltmarsh_area,saltmarsh_core.area,saltmarsh_perimeter,saltmarsh_perim.area.ratio,oyster_area,oyster_core.area,oyster_perimeter,oyster_perim.area.ratio,habitat_total,NNratio,dist2adjPatch,richness_landscape,avg_temp,avgTempAll,avgTempNight,medTemp,minTemp,maxTemp,avg_spl_low,avg_spl_high,TFPercentPresenceNight,TFAvgPresentNight,TFMaxRate,PerchPercentPresenceNight,PerchAvgPresentNight,PerchMaxRate
seagrass,-0.141969794,0.859779013,0.259708448,0.429034154,-0.108015094,0.217212377,-0.107428948,0.613517876,0.538542465,0.414121654,1,0.217212377,0.217212377,0.996075558,0.012716755,0.530740512,0.289486985,-0.25314172,0.162169579,0.41081089,0.147490456,0.117938946,0.055413797,0.431071164,-0.168368446,-0.219594706,-0.011521786,0.05028296,0.68506983,0.374223888,0.336767277,0.054809484,0.072462062,-0.035641919,0.691041342,0.733753077,-0.168368446,0.648235216,0.654749563,0.611242021,-0.224194412,0.091839437,0.144083225,-0.213942306,-0.288496829,-0.056519009,0.039691543,-0.213659997,-0.597675996,0.547068106,-0.029926308,0.581339941,-0.445735495,0.31576727,0.368166763,0.340384662,0.357787121,0.324075652,0.252249567,-0.329486156,0.099788764,0.096616058,0.29526925,0.252213451,-0.430323749,-0.232454172,-0.305614246
richness_comb,-0.264820449,0.305938831,-0.019582135,-0.14334227,0.706383077,1,-0.090909091,0.356753034,-0.024666076,-0.096785108,0.217212377,1,1,0.283360349,-0.053504048,0.534105422,0.004932331,0.071801424,-0.019766107,0.391306506,-0.061259908,-0.405501631,-0.437236319,0.409920791,-0.090909091,-0.19832707,-0.220779221,-0.012388717,-0.157188103,-0.144497195,0.473503789,-0.205886748,0.314771166,-0.128298272,-0.112102411,-0.128365162,-0.090909091,-0.201754421,-0.121463184,-0.254270217,-0.272719691,0.638160134,0.609360884,0.677990344,-0.026947824,0.849244619,0.644234168,0.784306487,0.056420238,0.323289037,-0.120744886,-0.252559045,-0.090909091,0.116644272,-0.128893988,-0.158666133,-0.159472222,-0.186387636,0.029528801,-0.160497826,0.132517968,0.69601795,0.702419702,0.737015754,-0.144758919,-0.013249712,-0.081213875
shannonD_comb,-0.264820449,0.305938831,-0.019582135,-0.14334227,0.706383077,1,-0.090909091,0.356753034,-0.024666076,-0.096785108,0.217212377,1,1,0.283360349,-0.053504048,0.534105422,0.004932331,0.071801424,-0.019766107,0.391306506,-0.061259908,-0.405501631,-0.437236319,0.409920791,-0.090909091,-0.19832707,-0.220779221,-0.012388717,-0.157188103,-0.144497195,0.473503789,-0.205886748,0.314771166,-0.128298272,-0.112102411,-0.128365162,-0.090909091,-0.201754421,-0.121463184,-0.254270217,-0.272719691,0.638160134,0.609360884,0.677990344,-0.026947824,0.849244619,0.644234168,0.784306487,0.056420238,0.323289037,-0.120744886,-0.252559045,-0.090909091,0.116644272,-0.128893988,-0.158666133,-0.159472222,-0.186387636,0.029528801,-0.160497826,0.132517968,0.69601795,0.702419702,0.737015754,-0.144758919,-0.013249712,-0.081213875
total_cover,-0.145315589,0.848710953,0.280699927,0.4256965,-0.01966152,0.283360349,-0.104962014,0.623049172,0.527077473,0.396923633,0.996075558,0.283360349,0.283360349,1,0.004477756,0.53923143,0.27416659,-0.25224378,0.149220972,0.414259366,0.125660179,0.100346278,0.044409592,0.435425272,-0.178398335,-0.23376876,-0.02394893,0.019542189,0.666065488,0.343634228,0.346263907,0.029868333,0.109150798,-0.060923338,0.672955031,0.710640405,-0.178398335,0.623517141,0.629873235,0.590187316,-0.218095532,0.164929404,0.214578224,-0.141876963,-0.293509617,0.004205079,0.070136479,-0.141578761,-0.573807315,0.57735752,-0.055861615,0.552534021,-0.442843269,0.318369542,0.358555217,0.328335986,0.345639595,0.318991152,0.2524834,-0.330086619,0.123187852,0.132653005,0.330729806,0.289056919,-0.450829497,-0.235115762,-0.312799771
avg_blade_length,0.875486576,0.062006332,-0.070271677,-0.05532936,-0.091669652,-0.053504048,-0.412761426,0.172517054,-0.034518305,-0.073076712,0.012716755,-0.053504048,-0.053504048,0.004477756,1,-0.041542737,0.933560284,0.552643477,-0.42466628,0.119223349,0.743732238,0.772125239,0.592683416,0.092747485,-0.281891561,0.484903706,0.75935684,0.650714616,0.168523684,0.182468809,0.062306075,0.597414204,0.002541024,0.354966402,0.142058545,0.121019972,-0.281891561,0.0079067,0.072821046,-0.059845265,-0.046931846,0.056597836,0.010670727,0.301989775,0.382533045,0.25286916,0.309611044,0.227683271,0.154330336,0.075404923,0.263590676,-0.147733334,0.489467523,0.770588078,0.782846241,0.792949415,0.804469629,0.479092966,0.788579323,-0.190928477,0.770440717,-0.442109563,-0.589556263,-0.455018388,-0.788281543,-0.535632967,-0.695814341
avg_shoot_density,-0.34139352,0.68444865,-0.273379045,0.037895247,0.03891312,0.534105422,0.411799675,0.372565519,0.247533537,0.201040031,0.530740512,0.534105422,0.534105422,0.53923143,-0.041542737,1,0.187034346,-0.127831528,0.016915966,0.247886597,0.041881973,-0.391348324,-0.516648784,0.273563449,-0.250161903,-0.35809574,-0.189603942,0.140108463,-0.020679142,-0.019407441,0.284922934,-0.046023089,-0.066016229,-0.106201275,0.08412353,0.071937532,-0.250161903,0.167138632,0.316352785,-0.00752997,-0.590036285,0.066393651,0.071863583,0.035798457,0.276893046,0.3763684,0.508618609,0.126258144,-0.206374722,0.22334266,0.186217748,0.063501873,-0.030877824,-0.14980892,-0.228717549,-0.242553701,-0.202367729,-0.411177057,-0.166372329,-0.18838806,-0.174506269,0.232149384,0.437849355,0.352937198,-0.144446498,0.202867841,0.155757965
max10,0.764233476,0.341805005,-0.100176378,0.054694195,-0.192063897,0.004932331,-0.404906569,0.241109417,0.123628488,0.094095326,0.289486985,0.004932331,0.004932331,0.27416659,0.933560284,0.187034346,1,0.427634284,-0.435789877,0.176392201,0.774796499,0.737943521,0.530066829,0.162383621,-0.279185243,0.291194272,0.730316689,0.605107881,0.266726392,0.170320126,0.115919046,0.604031839,-0.065864802,0.265429506,0.227223914,0.253408298,-0.279185243,0.087169837,0.179971374,-0.001394151,-0.205500137,0.028009239,0.00214124,0.173174068,0.299964768,0.188436755,0.30254714,0.08561429,-0.06761226,0.111643693,0.277893438,0.007011955,0.32814959,0.758405299,0.774189378,0.783045978,0.794322637,0.484453407,0.734248601,-0.283009983,0.713291087,-0.375779735,-0.487368458,-0.370050853,-0.798949877,-0.546726044,-0.697928299
depth_m_avg,0.521841985,-0.409484878,0.203028072,0.127222228,0.021334933,0.071801424,-0.424281141,0.259813097,0.408613007,0.417440076,-0.25314172,0.071801424,0.071801424,-0.25224378,0.552643477,-0.127831528,0.427634284,1,-0.239396498,0.171376927,0.448023592,0.325697487,0.232539645,0.170941135,0.202349467,0.055667172,0.625698122,0.269736956,0.155382439,-0.092657973,0.159182687,-0.107627561,0.561935837,-0.082529079,-0.252802426,0.099097227,0.202349467,0.074737214,0.074851794,0.013364114,0.121862893,0.236306551,0.190095956,0.428030527,0.098687524,0.530714698,0.667899441,0.455190426,0.312182439,0.268528893,0.800546572,-0.44284415,0.498258365,0.34391726,0.334692724,0.334846861,0.305974931,0.266881471,0.322396626,0.268502259,0.666109007,0.044033089,-0.274565557,-0.066423276,-0.327150073,-0.246197042,-0.334468344
sal_avg,-0.613410014,0.140839153,-0.121119623,0.227394121,-0.160042734,-0.019766107,0.198451715,0.322238826,0.063663458,-0.076143291,0.162169579,-0.019766107,-0.019766107,0.149220972,-0.42466628,0.016915966,-0.435789877,-0.239396498,1,0.397011047,-0.238915009,-0.39350052,-0.350288274,0.396552615,-0.019766107,0.124629089,-0.50205912,0.265787253,0.390945983,0.29281432,0.355493091,-0.119135788,-0.184999782,0.241183865,0.304934589,0.421051353,-0.019766107,0.420606183,0.290449743,0.502508131,0.412471631,-0.0522733,-0.007706128,-0.303604776,-0.067652629,-0.161170873,-0.115199775,-0.209123526,-0.063180396,0.274413256,-0.131412346,-0.086903359,-0.013440953,-0.034248474,-0.061282308,-0.060841129,-0.068405255,-0.075380638,0.052556342,-0.274508829,-0.461507504,0.094649059,0.358506256,0.208749392,0.239132741,0.227656645,0.241906244
total_abund_sum,-0.256583659,0.448347355,0.0128539,0.020256304,-0.002051615,0.391306506,-0.211308381,0.562125512,0.230950773,0.211209465,0.41081089,0.391306506,0.391306506,0.414259366,0.119223349,0.247886597,0.176392201,0.171376927,0.397011047,1,0.460418987,-0.211372083,-0.38245142,0.998430542,0.401978866,0.316319721,-0.116850608,0.520764941,0.495674568,0.554507257,0.985868022,0.071960219,0.372281869,0.467654757,0.459072199,0.544707759,0.401978866,0.246191529,0.231463785,0.228561027,0.041113935,0.073679263,0.087679585,-0.010695359,-0.013726185,0.276983889,0.235912956,0.200204254,0.174901291,0.274013914,0.033362486,-0.097548502,0.030594622,0.484440307,0.290500044,0.294034903,0.259778928,0.208189089,0.311328244,-0.05033011,0.160790288,0.521141098,0.524639641,0.610661945,-0.183409691,0.241807182,0.025325293
comm_richness_sum,0.518359522,0.274257833,-0.214253797,-0.072490006,-0.257647007,-0.061259908,-0.376310861,0.06377992,0.091198151,0.158115152,0.147490456,-0.061259908,-0.061259908,0.125660179,0.743732238,0.041881973,0.774796499,0.448023592,-0.238915009,0.460418987,1,0.510464681,0.215806896,0.45266298,0.253791046,0.263684452,0.691361815,0.609375479,0.258650487,0.124702436,0.432904594,0.708421298,0.156762168,0.27369395,0.083139983,0.270899393,0.253791046,-0.043892898,0.032283047,-0.110575857,-0.052542274,-0.188965709,-0.200710834,-0.081299426,0.084506464,0.080220274,0.214438194,-0.023559742,0.110622682,-0.126651876,0.307664267,-0.031825465,0.253791046,0.716227197,0.624318039,0.640262902,0.634344728,0.274897043,0.593770395,0.006797512,0.664267139,-0.10156423,-0.392945164,-0.17537305,-0.509576701,-0.164447399,-0.344434742
comm_shannonD_sum,0.902850789,-0.034983527,0.186272029,0.253318829,-0.184823365,-0.405501631,-0.544701602,0.051039484,0.107740564,0.042959624,0.117938946,-0.405501631,-0.405501631,0.100346278,0.772125239,-0.391348324,0.737943521,0.325697487,-0.39350052,-0.211372083,0.510464681,1,0.946835484,-0.23180785,-0.30677213,0.286014901,0.810402968,0.249818569,0.372145765,0.077202977,-0.31784159,0.525930886,-0.067066202,0.103368181,0.245808363,0.294628215,-0.30677213,0.193658103,0.183279694,0.207027546,0.14147001,0.039101253,0.031730647,0.060769045,-0.045156093,-0.175528504,-0.095092626,-0.137098879,-0.205303135,0.146080086,0.135009374,0.189808347,0.149465365,0.674901452,0.849659929,0.850042598,0.860152096,0.692649684,0.742178956,-0.239868709,0.711310258,-0.65353625,-0.790018126,-0.695589343,-0.706341107,-0.767708057,-0.818293835
comm_evenness_sum,0.833093265,-0.178372458,0.320958994,0.311596714,-0.102579005,-0.437236319,-0.528983921,0.034364483,0.092727047,-0.000489755,0.055413797,-0.437236319,-0.437236319,0.044409592,0.592683416,-0.516648784,0.530066829,0.232539645,-0.350288274,-0.38245142,0.215806896,0.946835484,1,-0.403303525,-0.38926394,0.243601009,0.668204131,0.048585401,0.341014363,0.052146299,-0.492754662,0.316751702,-0.08907913,0.022492063,0.244717248,0.244645215,-0.38926394,0.22662158,0.177015263,0.276515381,0.214917647,0.126360483,0.122037811,0.109739591,-0.123447928,-0.223266503,-0.194446953,-0.129231728,-0.25485695,0.212844716,0.03904603,0.215305385,0.064095134,0.519181208,0.743869041,0.738335566,0.746368315,0.712959975,0.629374868,-0.249338523,0.580893601,-0.665786815,-0.737733927,-0.69589139,-0.593721329,-0.81109047,-0.804625411
carnivore,-0.280345461,0.461893181,0.023390427,0.033860942,0.006412422,0.409920791,-0.203343122,0.561559542,0.260560584,0.244291759,0.431071164,0.409920791,0.409920791,0.435425272,0.092747485,0.273563449,0.162383621,0.170941135,0.396552615,0.998430542,0.45266298,-0.23180785,-0.403303525,1,0.418381692,0.262697177,-0.122296522,0.489540195,0.496164945,0.524423602,0.987664147,0.049962263,0.390147358,0.421167058,0.439647484,0.547823713,0.418381692,0.2490819,0.234226945,0.232232264,0.03479651,0.08357576,0.099171384,-0.012056689,-0.038918298,0.286304781,0.251827635,0.200010633,0.157417143,0.283136719,0.05212222,-0.089344841,0.010416282,0.464787298,0.267946864,0.270204855,0.235164947,0.192956441,0.284341832,-0.035688955,0.158342953,0.548167484,0.543813784,0.633505143,-0.17173081,0.250958391,0.039820241
herbivore,-0.264820449,-0.202543317,0.18089511,-0.14334227,-0.10339968,-0.090909091,-0.090909091,-0.254823596,0.197801015,0.436432485,-0.168368446,-0.090909091,-0.090909091,-0.178398335,-0.281891561,-0.250161903,-0.279185243,0.202349467,-0.019766107,0.401978866,0.253791046,-0.30677213,-0.38926394,0.418381692,1,-0.168964464,-0.064935065,-0.199028079,0.003968998,-0.031423066,0.459422678,-0.205886748,0.538198048,-0.132790856,-0.239206987,0.027701407,1,-0.232540726,-0.298833669,-0.150427683,0.211487895,-0.229138407,-0.217086799,-0.244735307,-0.311587937,-0.124715171,-0.144387494,-0.087205536,0.349736568,-0.326515581,0.200806898,-0.086324081,-0.090909091,-0.111417421,-0.253628871,-0.232510441,-0.302741384,-0.03371517,-0.387348383,0.671600908,0.043138957,0.559519457,0.212998261,0.422089141,0.433193475,0.57064322,0.514316115
omnivore,0.328452558,-0.094854288,-0.175952154,-0.22227315,-0.142448012,-0.19832707,-0.195658381,0.177368433,-0.434035673,-0.500894091,-0.219594706,-0.19832707,-0.19832707,-0.23376876,0.484903706,-0.35809574,0.291194272,0.055667172,0.124629089,0.316319721,0.263684452,0.286014901,0.243601009,0.262697177,-0.168964464,1,0.058260183,0.682254723,0.137367502,0.671200193,0.254760057,0.39463788,-0.197683862,0.923654098,0.465311874,0.107209926,-0.168964464,0.025929975,0.024424104,0.006728495,0.116587084,-0.143093049,-0.166034297,0.022332205,0.424456561,-0.074684037,-0.197877793,0.063000363,0.343028837,-0.070157472,-0.308959262,-0.166294086,0.350588348,0.475320799,0.468730376,0.491111575,0.494993548,0.318705864,0.551060084,-0.26881878,0.088137843,-0.308811936,-0.171685402,-0.210476022,-0.255493086,-0.089240051,-0.242512169
soniferous_S,0.819682342,-0.112616156,-0.026663787,0.287110347,-0.128899752,-0.220779221,-0.532467532,0.080087416,0.286468478,0.266187721,-0.011521786,-0.220779221,-0.220779221,-0.02394893,0.75935684,-0.189603942,0.730316689,0.625698122,-0.50205912,-0.116850608,0.691361815,0.810402968,0.668204131,-0.122296522,-0.064935065,0.058260183,1,0.204938731,0.249689315,-0.206605799,-0.18013334,0.485115909,0.212015848,-0.056930235,-0.055075727,0.201641964,-0.064935065,0.084370311,0.188986018,-0.04657305,-0.125119947,0.086050034,0.074776187,0.113359081,-0.107922178,0.108487135,0.315394188,0.023226349,-0.156001685,0.129567448,0.514515941,0.007205044,0.194805195,0.522951768,0.645677169,0.640307814,0.65945236,0.34015062,0.583876199,-0.091865591,0.771917084,-0.413235871,-0.702425594,-0.538312057,-0.571410302,-0.592866493,-0.649883917
carn_2,0.265299984,0.281093393,-0.405929352,-0.186002322,-0.361716675,-0.012388717,-0.147572026,0.296815532,-0.191742375,-0.258559388,0.05028296,-0.012388717,-0.012388717,0.019542189,0.650714616,0.140108463,0.605107881,0.269736956,0.265787253,0.520764941,0.609375479,0.249818569,0.048585401,0.489540195,-0.199028079,0.682254723,0.204938731,1,0.221331937,0.513834894,0.472718829,0.572362187,-0.284799902,0.732066748,0.313084945,0.241667525,-0.199028079,0.110441714,0.138238917,0.061838287,0.037219092,-0.227583969,-0.251740502,-0.037095262,0.528821741,0.121597356,0.207517948,0.032301849,0.212281263,-0.021627293,0.091378026,-0.242878433,0.490116071,0.635600792,0.538416194,0.562790766,0.566801125,0.209026804,0.659912344,-0.34216535,0.211858219,-0.232810706,-0.1721364,-0.15182822,-0.403576677,-0.122547424,-0.287259867
detritivore,0.083529967,0.357691953,0.361425253,0.717358468,-0.245510074,-0.157188103,-0.356278706,0.739994283,0.697168464,0.53667913,0.68506983,-0.157188103,-0.157188103,0.666065488,0.168523684,-0.020679142,0.266726392,0.155382439,0.390945983,0.495674568,0.258650487,0.372145765,0.341014363,0.496164945,0.003968998,0.137367502,0.249689315,0.221331937,1,0.503722186,0.355944125,0.005659548,0.258237003,0.205661408,0.77189404,0.990068036,0.003968998,0.84899898,0.775365481,0.83080704,0.172779933,0.138895153,0.198616358,-0.241496249,-0.313255436,-0.164182,-0.010909104,-0.250494051,-0.381072866,0.713264383,0.223337973,0.29608255,-0.134016306,0.486732209,0.644688614,0.631027381,0.623611669,0.618753465,0.512956741,-0.304087817,0.273955358,-0.128865335,0.007938381,-0.014174741,-0.460708681,-0.316273354,-0.425188126
herb_2,-0.013419287,0.366029712,0.227050786,-0.08374021,-0.368116595,-0.144497195,-0.144497195,0.503657236,0.027706724,-0.056767952,0.374223888,-0.144497195,-0.144497195,0.343634228,0.182468809,-0.019407441,0.170320126,-0.092657973,0.29281432,0.554507257,0.124702436,0.077202977,0.052146299,0.524423602,-0.031423066,0.671200193,-0.206605799,0.513834894,0.503722186,1,0.470822774,0.082761909,0.008963025,0.721813454,0.82313961,0.51561033,-0.031423066,0.518679071,0.455985821,0.522727498,0.029053881,-0.324907781,-0.318852105,-0.277537814,0.128744695,-0.197113387,-0.215306173,-0.167597229,-0.008511119,0.194598175,-0.180087665,0.349165378,-0.08670287,0.366926379,0.385575844,0.385193723,0.384927543,0.399518936,0.33301515,-0.095848563,-0.072078608,-0.030003583,0.189088551,0.158087396,-0.190860787,0.009551081,-0.134595642
