,deploy_num,zostera,ruppia,saltmarsh,evenness,richness_comb,total_cover,depth_m_avg,sal_avg,total_abund_sum,herbivore,omnivore,soniferous_S,seagrass_core.area,seagrass_perimeter,seagrass_perim.area.ratio,saltmarsh_perim.area.ratio,oyster_perimeter,oyster_perim.area.ratio,NNratio,dist2adjPatch,avg_temp,avg_spl_high
omnivore,0.378840514,-0.01044477,-0.100841094,-0.123046278,-0.186930885,0.086872232,0.123756506,0.007526419,-0.050142897,0.283436057,-0.085168498,1,0.229257614,0.102310538,0.209712695,0.066680911,0.015324204,0.096091159,0.138146007,-0.233934459,-0.1371433,0.355680484,0.174519091
soniferous_S,0.310317965,0.500619213,0.404538351,-0.427252466,0.014739902,-0.110151656,0.520723055,0.042164205,-0.221833221,0.61568692,0.146303901,0.229257614,1,0.550117491,0.3774557,-0.174447362,-0.299508047,-0.368981158,-0.32600795,0.026725319,-0.144912075,0.427245826,0.3471258
seagrass_core.area,0.080655271,0.412791565,0.605474763,-0.304606198,-0.017681502,-0.246938465,0.515990506,-0.133590091,0.20820872,0.512822244,-0.090546617,0.102310538,0.550117491,1,0.683421938,-0.246793053,-0.243071767,-0.316706408,-0.529524256,0.103505592,0.008535005,0.352053297,0.109942381
seagrass_perimeter,0.002467337,0.573413898,0.501825858,-0.272080948,0.120094358,0.011162623,0.660310308,0.047686448,0.287422759,0.417821671,-0.026704558,0.209712695,0.3774557,0.683421938,1,0.15991002,-0.324674416,0.093300421,-0.281136421,-0.057573801,-0.038872124,0.327236316,0.297251383
seagrass_perim.area.ratio,-0.141736427,0.011409443,-0.066491497,-0.065572677,-0.075670649,-0.043048709,-0.134706157,-0.219569464,0.229668951,-0.122200096,0.030795044,0.066680911,-0.174447362,-0.246793053,0.15991002,1,-0.080068044,0.147101938,0.417707264,-0.149182755,-0.353689691,-0.100191584,0.07697251
saltmarsh_perim.area.ratio,0.051333039,-0.332493448,-0.242990383,0.256657347,0.229563594,0.300137826,-0.255223137,0.142889184,0.001911241,-0.241597993,-0.235773997,0.015324204,-0.299508047,-0.243071767,-0.324674416,-0.080068044,1,0.130382224,0.454719158,0.662191076,-0.41622079,-0.085144248,-0.191831483
oyster_perimeter,0.127715141,-0.255244441,-0.188033746,0.272267509,0.323065637,0.564140709,0.161503715,0.547605021,-0.192505052,-0.32474985,-0.11406113,0.096091159,-0.368981158,-0.316706408,0.093300421,0.147101938,0.130382224,1,0.261798092,0.061905086,-0.198580449,-0.020375881,0.553802452
oyster_perim.area.ratio,0.060060243,-0.165090389,-0.426059727,0.198124701,0.112243639,0.25726985,-0.390175417,0.222263336,0.029960931,-0.164787429,0.187097109,0.138146007,-0.32600795,-0.529524256,-0.281136421,0.417707264,0.454719158,0.261798092,1,0.131851499,-0.544469812,0.058718968,0.048524035
NNratio,0.028551136,-0.043085936,0.130465125,0.135470793,0.563582973,0.281566015,-0.095881947,0.317908519,0.007725181,-0.104576292,0.076951935,-0.233934459,0.026725319,0.103505592,-0.057573801,-0.149182755,0.662191076,0.061905086,0.131851499,1,-0.38215483,-0.067552861,-0.066940083
dist2adjPatch,-0.065393089,0.043240526,-0.025793925,-0.142362423,-0.171473057,-0.369753763,-0.116967793,-0.106513533,-0.025690037,-0.115818535,-0.060553235,-0.1371433,-0.144912075,0.008535005,-0.038872124,-0.353689691,-0.41622079,-0.198580449,-0.544469812,-0.38215483,1,-0.15429966,-0.261552065
avg_temp,0.655712403,0.214669743,0.100688501,0.079134797,0.032970995,0.207385826,0.387331799,0.121066943,-0.048731789,0.404508472,-0.015889919,0.355680484,0.427245826,0.352053297,0.327236316,-0.100191584,-0.085144248,-0.020375881,0.058718968,-0.067552861,-0.15429966,1,0.446219863
avg_spl_high,0.556571602,0.263290149,0.101825608,0.09119469,0.320602831,0.325353144,0.538089356,0.423359846,-0.434018697,0.202520816,0.061003167,0.174519091,0.3471258,0.109942381,0.297251383,0.07697251,-0.191831483,0.553802452,0.048524035,-0.066940083,-0.261552065,0.446219863,1
