,zostera,ruppia,oyster,saltmarsh,richness,evenness,richness_comb,depth_m_avg,sal_avg,total_abund_sum,herbivore,omnivore,soniferous_S,num_bai_chr,seagrass_core.area,seagrass_perimeter,seagrass_perim.area.ratio,saltmarsh_core.area,saltmarsh_perim.area.ratio,NNratio,dist2adjPatch,avgTempNight,PerchAvgPresentNight
num_bai_chr,0.447172849,0.468178134,-0.219213896,-0.254601372,0.513941398,0.025827798,-0.107448574,-0.232670771,0.234790029,0.628489171,-0.103485626,0.35368206,0.389487924,1,0.693680074,0.627974554,-0.120960396,-0.237508476,-0.176119256,-0.166926229,0.14112398,0.35729174,-0.229520842
seagrass_core.area,0.412791565,0.605474763,-0.269839222,-0.304606198,0.424887581,-0.017681502,-0.246938465,-0.133590091,0.20820872,0.512822244,-0.090546617,0.102310538,0.550117491,0.693680074,1,0.683421938,-0.246793053,-0.31777171,-0.243071767,0.103505592,0.008535005,0.372522381,-0.357007449
seagrass_perimeter,0.573413898,0.501825858,0.204209966,-0.272080948,0.498328774,0.120094358,0.011162623,0.047686448,0.287422759,0.417821671,-0.026704558,0.209712695,0.3774557,0.627974554,0.683421938,1,0.15991002,0.03250466,-0.324674416,-0.057573801,-0.038872124,0.374330998,-0.15169853
seagrass_perim.area.ratio,0.011409443,-0.066491497,0.196063745,-0.065572677,-0.16897729,-0.075670649,-0.043048709,-0.219569464,0.229668951,-0.122200096,0.030795044,0.066680911,-0.174447362,-0.120960396,-0.246793053,0.15991002,1,0.250892356,-0.080068044,-0.149182755,-0.353689691,-0.124211143,0.1294066
saltmarsh_core.area,-0.250336384,-0.04880082,0.535361675,0.357698032,0.087171966,0.308645418,0.560206851,0.233643646,0.01669948,-0.343198936,-0.147910312,0.055168273,-0.322834393,-0.237508476,-0.31777171,0.03250466,0.250892356,1,-0.122784956,-0.141966526,-0.14791648,0.189719327,-0.023264509
saltmarsh_perim.area.ratio,-0.332493448,-0.242990383,0.089847182,0.256657347,-0.001187191,0.229563594,0.300137826,0.142889184,0.001911241,-0.241597993,-0.235773997,0.015324204,-0.299508047,-0.176119256,-0.243071767,-0.324674416,-0.080068044,-0.122784956,1,0.662191076,-0.41622079,-0.123761836,-0.135052817
NNratio,-0.043085936,0.130465125,0.036913825,0.135470793,0.177390559,0.563582973,0.281566015,0.317908519,0.007725181,-0.104576292,0.076951935,-0.233934459,0.026725319,-0.166926229,0.103505592,-0.057573801,-0.149182755,-0.141966526,0.662191076,1,-0.38215483,-0.103969283,-0.279241451
dist2adjPatch,0.043240526,-0.025793925,-0.144276493,-0.142362423,-0.31923662,-0.171473057,-0.369753763,-0.106513533,-0.025690037,-0.115818535,-0.060553235,-0.1371433,-0.144912075,0.14112398,0.008535005,-0.038872124,-0.353689691,-0.14791648,-0.41622079,-0.38215483,1,-0.004019815,0.51522283
avgTempNight,0.171223067,0.221798456,0.028907786,0.106176233,0.328016603,0.068284988,0.139740418,0.167035088,-0.086365701,0.242782745,-0.118536657,0.35070098,0.364430355,0.35729174,0.372522381,0.374330998,-0.124211143,0.189719327,-0.123761836,-0.103969283,-0.004019815,1,-0.508787856
PerchAvgPresentNight,-0.247676158,-0.204551515,0.252101415,-0.152727757,-0.520287265,-0.249245253,-0.319036599,0.091142889,0.103409847,-0.211341516,0.124790262,-0.214853023,-0.446480589,-0.229520842,-0.357007449,-0.15169853,0.1294066,-0.023264509,-0.135052817,-0.279241451,0.51522283,-0.508787856,1
